"code","dose","colony","newday","day30","phase","tubetemp","tubehumidity","temp","humidity","startweight","startage","doublefeeder","meanco2","suc40ml","suc5ml","buzz","sit","walk","wave","totalactive","totalinactive","totaldistance","binaryactive","totalsuc"
"B9B20",200,9,7,25,"Recovery",25,29,25.6,29,0.245,2,1,22.95818182,0.521258503,"NA",0,5,17,278,17,283,15,"Yes",0.521258503
"B9B20",200,9,10,30,"Recovery",25.1,30,25.6,30,0.245,2,1,9.174949495,0.357426304,"NA",0,3,290,7,290,10,150,"Yes",0.357426304
"B9B24",0,9,7,25,"Recovery",25.2,29,25.6,31,0.255,2,1,19.27676768,0.152777778,"NA",0,300,0,0,0,300,0,"No",0.152777778
"B9B24",0,9,10,30,"Recovery",25.3,34,25.6,34,0.255,2,1,19.46525253,0.21031746,"NA",0,1,0,299,0,300,0,"No",0.21031746
"B9B25",200,9,10,30,"Recovery",25.2,30,25.6,29,0.231,2,1,17.10868687,0.474489796,"NA",0,4,53,243,53,247,75,"Yes",0.474489796
"B9B26",200,9,10,30,"Recovery",25.4,30,25.6,30,0.287,2,1,8.125858586,0.279195011,"NA",0,3,9,288,9,291,7.5,"Yes",0.279195011
"B9B3",0,9,7,15,"on",25.2,36,25.5,36,0.27,5,2,14.3957047,0.528486395,0.474459725,4,8,201,87,205,95,157.5,"Yes",1.00294612
"B9B3",0,9,7,25,"Recovery",25,29,25.6,33.2,0.27,5,2,8.613535354,0.361678004,0.350687623,3,3,0,294,3,297,0,"Yes",0.712365627
"B9B3",0,9,10,20,"on",25.1,34,25.6,34,0.27,5,2,14.26327273,0.444160995,0.250491159,0,3,4,293,4,296,7.5,"Yes",0.694652154
"B9B3",0,9,10,30,"Recovery",25.3,38.1,25.6,38.1,0.27,5,2,22.2620202,0.032029479,0.236411264,0,300,0,0,0,300,0,"No",0.268440743
"B9B6",200,9,10,30,"Recovery",25.2,30,25.6,29.8,0.179,5,1,13.11030303,0.535714286,"NA",0,146,109,45,109,191,67.5,"Yes",0.535714286
"B9B7",200,9,7,15,"on",25.1,36,25.5,36,0.265,5,2,22.91100671,0.471513605,0.070726916,2,16,229,53,231,69,112.5,"Yes",0.542240521
"B9B7",200,9,10,20,"on",25,38.1,25.6,38.1,0.265,5,2,20.78001018,0.869614515,0.586116572,6,14,135,145,141,159,120,"Yes",1.455731087
"B9B8",200,9,7,25,"Recovery",25.4,29,25.6,29,0.259,5,2,23.9969697,0.465419501,0.518009168,0,300,0,0,0,300,0,"No",0.983428669
"B9B8",200,9,10,30,"Recovery",25.6,30,25.6,30,0.259,5,2,18.04040404,0.592687075,0.318925999,0,0,0,300,0,300,0,"Yes",0.911613074
