"Species","Tree","wing_length"
"SO1","A",1.557
"SO1","A",1.493
"SO1","B",1.47
"SO1","B",1.541
"SO2","A",1.635
"SO2","A",1.7
"SO2","B",1.407
"SO2","B",1.378
