Year	GDP
1270	3517.77564997068
1271	3481.22222299963
1272	3611.89212618653
1273	3406.87398286878
1274	3394.20971980077
1275	3879.73391187188
1276	3414.31379637808
1277	3645.87986886684
1278	3780.00235997924
1279	3137.45910156786
1280	3187.37604117516
1281	3389.5141168517
1282	3290.18651897323
1283	3130.20950337753
1284	3239.45209152302
1285	3282.51663878008
1286	3238.33617264539
1287	3547.23524648601
1288	3441.4970854807
1289	3177.7627442685
1290	3225.14019386931
1291	3231.35095039044
1292	3403.05317251847
1293	3483.23091552689
1294	3456.89990012224
1295	3701.98134361122
1296	3849.82718451432
1297	3683.48116167764
1298	3874.31704682382
1299	3731.01924416702
1300	3705.24722687528
1301	3731.18957931318
1302	3827.50354724174
1303	3986.08293240249
1304	3605.67827682459
1305	3705.50381015661
1306	3598.40146896489
1307	3771.92418197698
1308	3816.13602236446
1309	3910.13880982328
1310	3857.97614631323
1311	3993.56949763099
1312	3887.65893592061
1313	3956.5378172439
1314	3957.41900613738
1315	3555.67184771943
1316	3356.17166976661
1317	3510.6626475497
1318	3873.32117805089
1319	3889.59191487126
1320	3761.67265793187
1321	3180.90037649919
1322	3347.05892038206
1323	3471.87821547358
1324	3162.99057644729
1325	3422.89047790181
1326	3488.04419407067
1327	3449.1546666457
1328	3223.24955615798
1329	3411.39528185543
1330	3342.78800679464
1331	3205.48638671851
1332	3394.49579154691
1333	3517.46121708201
1334	3422.2298648468
1335	3298.99371137994
1336	3476.25394664698
1337	3876.23082425646
1338	3975.56758774739
1339	3264.75161687071
1340	3680.03891518475
1341	3741.00914470128
1342	3939.91285717248
1343	3853.65229445487
1344	4140.20829776081
1345	3879.3844815337
1346	3708.71592993209
1347	3877.39550444745
1348	4000.38212283965
1349	3061.6644837716
1350	2840.7248397096
1351	2673.64779052364
1352	2767.4119250818
1353	2771.40563098448
1354	2650.31162861993
1355	2727.28470055199
1356	2686.02200114071
1357	2732.73158636397
1358	2742.67573352215
1359	2768.29407310205
1360	2745.52678126857
1361	2645.14582625396
1362	2571.81033271333
1363	2493.08170209242
1364	2765.47596012887
1365	2638.26073022069
1366	2713.75896387201
1367	2542.80375815271
1368	2521.4404084837
1369	2350.82387643429
1370	2630.22373321524
1371	2541.16028171789
1372	2294.90419063796
1373	2481.04979542595
1374	2278.37675075603
1375	2194.0306964055
1376	2531.89185172201
1377	2602.52967781503
1378	2554.70843324579
1379	2327.13110162359
1380	2413.83660209622
1381	2457.54011737815
1382	2522.96103996818
1383	2393.12682100961
1384	2686.82061286076
1385	2430.56636097214
1386	2697.72520748484
1387	2698.28464437684
1388	2477.06822634935
1389	2545.53025692187
1390	2369.64165179727
1391	2637.39586266651
1392	2951.77760723299
1393	2426.81170884233
1394	2651.52043631096
1395	2524.87321918399
1396	2527.15665922019
1397	2458.77832564435
1398	2618.56724216995
1399	2501.01761007255
1400	2418.86115523567
1401	2385.90388992034
1402	2447.67618340711
1403	2485.72937322632
1404	2526.3551574357
1405	2528.70793178154
1406	2343.51260602636
1407	2344.95435458976
1408	2168.0202594885
1409	2242.08414623299
1410	2380.81666895555
1411	2330.17033369796
1412	2274.83911025529
1413	2061.04803598603
1414	2340.71261854083
1415	2393.39942450144
1416	2306.6343304011
1417	2520.08454762133
1418	2389.86069573061
1419	2515.50268560493
1420	2452.62838047205
1421	2289.00299071223
1422	2362.70008431251
1423	2492.00662719131
1424	2510.29705850717
1425	2422.3802827745
1426	2347.90581875595
1427	2285.29307939338
1428	2144.295311097
1429	2216.90446254596
1430	2279.91806792149
1431	2289.35298199994
1432	2258.90879767986
1433	2323.96054299152
1434	2460.73839250805
1435	2184.47637661934
1436	2033.44578015796
1437	1949.71746926083
1438	2045.0879759499
1439	2134.10331240679
1440	2152.31245196717
1441	1901.16882038729
1442	1966.53179601442
1443	2377.12297358406
1444	2371.87399609822
1445	2044.26185528781
1446	2172.31618358068
1447	2222.78216343113
1448	2295.00110248547
1449	2103.76900625391
1450	2166.81111310234
1451	2176.71929307909
1452	2154.23585140205
1453	2177.87045447391
1454	2184.4956265347
1455	2172.74730328651
1456	2201.60947499989
1457	2018.6218265642
1458	2142.0633368956
1459	2113.67664355445
1460	2118.65268607257
1461	2131.81869446001
1462	2336.17349015276
1463	2369.93861155427
1464	2166.48658478124
1465	2107.82322975419
1466	2096.30776307736
1467	2165.4489480905
1468	2264.73412043812
1469	2239.03533472768
1470	2180.08386216592
1471	2088.32057397374
1472	2162.3284080441
1473	2149.09878439425
1474	2267.72629595464
1475	2205.03078562471
1476	2049.0796168848
1477	2147.68734391245
1478	2212.39267816722
1479	2343.07521046513
1480	2414.86985527776
1481	2311.78455213015
1482	2214.79627776612
1483	2326.64686090791
1484	2308.41121078396
1485	2185.73759679207
1486	2426.34706873623
1487	2221.67812808084
1488	2271.85191304086
1489	2326.96892811572
1490	2345.34424080662
1491	2368.64361072891
1492	2400.95419101933
1493	2365.80889205043
1494	2481.51829616901
1495	2436.73992954449
1496	2364.1174621506
1497	2525.82169700641
1498	2554.62067892749
1499	2568.52256908945
1500	2529.6390307121
1501	2441.49229531967
1502	2531.39497475238
1503	2641.79171514418
1504	2650.96502025546
1505	2680.76537753046
1506	2694.16013591151
1507	2646.39031934591
1508	2684.57940971936
1509	2810.97882762225
1510	2712.56444898109
1511	2768.81781881054
1512	2646.62649214576
1513	2762.9623181896
1514	2758.57208910577
1515	2834.66461993182
1516	2810.58175132232
1517	2819.69471316068
1518	2835.83017597034
1519	2811.2276861589
1520	2772.49343394494
1521	2838.76723739322
1522	2889.96507855959
1523	2964.85778353802
1524	3026.57401868965
1525	3027.72819614592
1526	3065.79993027131
1527	2863.93691053444
1528	2907.59830865668
1529	2970.18061334359
1530	3025.54457933205
1531	2941.07169474309
1532	3061.73529398901
1533	3064.63446526199
1534	3221.47506382492
1535	3017.87215923753
1536	3001.2962983419
1537	3251.97903294655
1538	3097.35674695778
1539	3360.92417417575
1540	3267.70061933354
1541	3175.06260171453
1542	3318.38454318876
1543	3217.29010295354
1544	3419.48913956797
1545	3308.47009641797
1546	3353.23146598929
1547	3622.9493510546
1548	3504.1169184865
1549	3382.48012258903
1550	3378.90422259699
1551	3325.53039500634
1552	3190.1930457709
1553	3746.59394765224
1554	3430.07064936207
1555	3419.03192631762
1556	2813.33272246121
1557	3076.29685856734
1558	3906.10146702121
1559	3580.94318034474
1560	3574.24017392494
1561	3651.08443891499
1562	3657.9383720158
1563	4010.85190246924
1564	3877.76861832398
1565	3916.27412094995
1566	4413.21384265968
1567	4167.11426931859
1568	4203.06197826007
1569	4197.63721566795
1570	3873.29556548589
1571	3889.38968321705
1572	3785.68921850325
1573	4350.51744245491
1574	3862.00417862299
1575	4329.85294858831
1576	4497.28309167153
1577	3848.202719386
1578	4423.5630013613
1579	4383.48197468376
1580	4181.41803065327
1581	4062.77147200492
1582	3663.74314958184
1583	4180.6629372849
1584	4069.35729478942
1585	3585.33609126982
1586	3523.30726600442
1587	3919.44205903842
1588	4396.95098946812
1589	3874.05681143357
1590	4144.57039189398
1591	4176.51337710336
1592	4515.36525360969
1593	4780.03291497088
1594	3914.01092120263
1595	3959.1891825688
1596	3783.16601257019
1597	3609.51034068442
1598	4274.40230382635
1599	4916.05489970667
1600	4704.82536979553
1601	4703.82751345522
1602	4960.323949737
1603	5265.05518690034
1604	5612.65616992614
1605	5059.629437439
1606	5338.17258448259
1607	4896.35350616298
1608	4673.89603993156
1609	5436.07287268539
1610	5773.86684280668
1611	5318.46530523729
1612	5095.53700657872
1613	4926.77250868463
1614	4751.51449726145
1615	5175.81742874784
1616	4901.40463076309
1617	5410.85957569569
1618	5415.05567416722
1619	4984.63500856072
1620	5841.30458517354
1621	5878.93607493052
1622	5162.54140191003
1623	5151.84546337981
1624	5817.22418033836
1625	5863.69525743282
1626	5571.86607479484
1627	5620.86978000958
1628	6445.86115446441
1629	4811.55324789419
1630	4749.37535089566
1631	4832.96284390126
1632	5498.93406123366
1633	5190.17969207332
1634	5317.54674392525
1635	5526.18667567556
1636	5252.57617210341
1637	5185.0370320766
1638	5671.9518191292
1639	5776.12589176289
1640	5929.39158769741
1641	5202.00281656201
1642	5742.50726859827
1643	6146.71181625357
1644	6158.42891158556
1645	5360.4976106193
1646	5392.6122581356
1647	5447.79871085932
1648	5511.83570037346
1649	5421.68189998701
1650	5195.29528880257
1651	5482.48114194795
1652	6269.9762895
1653	6993.81088314037
1654	6839.15571863861
1655	7235.52318487457
1656	6689.48627925376
1657	6301.41060447292
1658	6122.77972697716
1659	5131.5049324782
1660	5597.78058761155
1661	5748.63209371649
1662	5857.10295535627
1663	6847.99221523399
1664	6483.64398263875
1665	6686.25004252686
1666	7549.85756723379
1667	7583.95584903563
1668	6830.05727427028
1669	7001.62843286456
1670	6792.86854598802
1671	6535.91452012436
1672	6466.2464615738
1673	6634.67475411933
1674	6334.26675482103
1675	6499.87928567245
1676	7681.11601829931
1677	7126.23582330836
1678	7410.24394433689
1679	6897.50250561629
1680	7717.83119553825
1681	6924.08990346283
1682	7214.38657275143
1683	7779.45996722303
1684	6506.46530251517
1685	7153.74416772212
1686	6639.72985023128
1687	7303.8353175468
1688	7803.69753573269
1689	7617.19855596053
1690	8131.52953617368
1691	8269.5326160785
1692	8944.70208880416
1693	7610.21941902854
1694	9039.45782508289
1695	8647.53277253839
1696	8281.23287174522
1697	8222.19455521521
1698	8461.69895037459
1699	8158.12042388421
1700	8668.31779830733
1701	9443.96361408302
1702	9198.36907789025
1703	8606.97775795744
1704	10244.3636207168
1705	9721.01511989954
1706	8230.37116582504
1707	9244.72430044268
1708	9838.05145861926
1709	8521.17308073286
1710	7745.42410932846
1711	8443.15262103846
1712	8433.51673087169
1713	8069.71264467054
1714	8874.78121767537
1715	8623.82052102414
1716	8948.06797755023
1717	9450.47624073347
1718	9981.95169832143
1719	9803.92855511149
1720	10426.9415206595
1721	10017.9474786474
1722	10122.5430787559
1723	9877.19297510563
1724	9776.41472028583
1725	10029.2557722804
1726	9717.51201923306
1727	9656.41135158192
1728	9948.8641577704
1729	9393.88688893431
1730	9606.76763497226
1731	9452.0558699836
