"Species","Tree","wing_length"
"Het1","A",2.122
"Het1","A",1.938
"Het1","B",1.765
"Het1","B",1.7
"Het2","A",1.81
"Het2","A",1.821
"Het2","B",1.653
"Het2","B",1.547
"LO1","A",1.869
"LO1","A",1.957
"LO1","B",1.589
"LO1","B",1.43
"SO1","A",1.557
"SO1","A",1.493
"SO1","B",1.47
"SO1","B",1.541
"SO2","A",1.635
"SO2","A",1.7
"SO2","B",1.407
"SO2","B",1.378
