"Site","Tree","Fruit","Tree_Lat","Tree_Lon","Foundress_Pollinators","Fruit_Volume_mm","Poll","SO1","SO2","LO1","Het1","Het2","Aepoc","Physo","Neighbours_1km"
"S158","T6A","F33",29.26118,-114.02113,1,1413,1,6,16,0,0,0,0,0,85
"S158","T6A","F34",29.26118,-114.02113,1,1708.16,5,0,0,5,0,0,0,0,85
"S158","T6A","F35",29.26118,-114.02113,1,884.4333333,0,4,6,0,0,0,0,0,85
"S158","T6A","F36",29.26118,-114.02113,0,795.99,0,0,0,0,5,0,0,1,85
"S158","T6A","F37",29.26118,-114.02113,1,1025.733333,0,0,0,7,2,0,2,2,85
"S158","T6A","F38",29.26118,-114.02113,0,1025.733333,0,0,0,0,0,0,0,2,85
"S158","T6A","F39",29.26118,-114.02113,0,795.99,0,0,0,0,0,0,0,0,85
"S158","T6A","F40",29.26118,-114.02113,0,1473.706667,0,0,0,5,4,0,0,0,85
"S158","T6A","F41",29.26118,-114.02113,0,1632.8,0,0,0,1,0,0,0,0,85
"S158","T6A","F42",29.26118,-114.02113,0,857.22,0,0,0,0,0,0,0,0,85
"S158","T6A","F43",29.26118,-114.02113,1,1413,0,0,2,0,1,0,2,0,85
"S158","T29","F1",29.26468,-114.02277,0,2543.4,0,0,0,48,2,0,0,2,85
"S158","T29","F2",29.26468,-114.02277,1,1850.506667,32,0,10,27,1,0,0,0,85
"S158","T29","F3",29.26468,-114.02277,1,1741.653333,44,3,17,0,0,0,0,0,85
"S158","T29","F4",29.26468,-114.02277,2,1875.626667,3,0,6,7,0,0,1,0,85
"S158","T29","F5",29.26468,-114.02277,1,2268.65,0,0,0,13,0,0,0,0,85
"S158","T29","F6",29.26468,-114.02277,1,1868.3,51,0,0,0,0,0,0,0,85
"S158","T29","F7",29.26468,-114.02277,1,2135.2,1,0,7,6,0,0,0,0,85
"S158","T29","F8",29.26468,-114.02277,1,2402.1,41,11,22,39,0,0,0,0,85
"S158","T29","F9",29.26468,-114.02277,3,1992.853333,0,0,6,38,0,0,0,0,85
"S158","T29","F10",29.26468,-114.02277,1,2402.1,40,2,7,45,1,0,0,0,85
"S158","T29","F11",29.26468,-114.02277,1,1875.626667,1,0,1,16,0,0,0,0,85
"S158","T29","F12",29.26468,-114.02277,1,1734.85,2,0,31,0,1,0,1,0,85
"S158","T29","F13",29.26468,-114.02277,1,2543.4,90,2,10,0,0,0,0,0,85
"S158","T29","F14",29.26468,-114.02277,1,2543.4,64,7,11,2,0,0,0,1,85
"S158","T29","F15",29.26468,-114.02277,1,2402.1,37,3,10,27,0,0,1,0,85
"S158","T29","F16",29.26468,-114.02277,4,3349.333333,74,0,18,68,0,1,0,0,85
"S158","T29","F17",29.26468,-114.02277,1,2562.24,13,3,9,33,0,0,0,0,85
"S158","T29","F18",29.26468,-114.02277,1,2882.52,0,5,0,11,2,0,0,0,85
"S158","T29","F19",29.26468,-114.02277,0,1850.506667,0,0,8,35,0,0,0,2,85
"S158","T29","F20",29.26468,-114.02277,1,1530.75,6,3,20,7,1,0,0,0,85
"S158","T29","F21",29.26468,-114.02277,1,2366.513333,19,0,0,9,1,0,0,1,85
"S158","T29","F22",29.26468,-114.02277,1,1875.626667,43,0,11,4,0,0,1,0,85
"S158","T29","F23",29.26468,-114.02277,1,2241.96,3,0,4,8,0,0,0,0,85
"S158","T29","F24",29.26468,-114.02277,1,1708.16,0,0,0,13,0,0,0,0,85
"S158","T29","F25",29.26468,-114.02277,0,1413,0,0,1,7,2,0,0,0,85
"S158","T29","F26",29.26468,-114.02277,1,2373.84,24,11,9,18,0,0,0,0,85
"S158","T29","F27",29.26468,-114.02277,2,2402.1,19,1,3,24,3,0,1,0,85
"S158","T29","F28",29.26468,-114.02277,2,2411.52,0,0,2,24,0,0,0,0,85
"S158","T29","F29",29.26468,-114.02277,2,1538.6,30,6,1,20,0,0,0,0,85
"S158","T29","F30",29.26468,-114.02277,1,2268.65,27,0,0,11,1,0,0,0,85
"S158","T29","F31",29.26468,-114.02277,1,1875.626667,4,0,2,7,0,3,0,0,85
"S158","T29","F32",29.26468,-114.02277,0,1868.3,0,0,0,13,0,0,0,0,85
"S158","T29","F33",29.26468,-114.02277,1,2117.406667,1,0,0,11,0,0,1,1,85
"S158","T29","F34",29.26468,-114.02277,1,1992.853333,57,10,0,0,0,0,0,0,85
"S158","T29","F35",29.26468,-114.02277,1,2326.74,58,0,0,0,0,0,0,1,85
"S158","T29","F36",29.26468,-114.02277,1,2505.72,6,1,1,0,0,0,0,3,85
"S158","T29","F37",29.26468,-114.02277,1,1875.626667,48,0,1,12,0,1,0,0,85
"S158","T29","F38",29.26468,-114.02277,1,1758.4,1,0,2,0,0,0,0,0,85
"S158","T29","F39",29.26468,-114.02277,1,2712.96,19,0,1,0,0,0,0,0,85
"S158","T29","F40",29.26468,-114.02277,1,2644.926667,23,0,0,0,0,0,0,0,85
"S158","T29","F41",29.26468,-114.02277,1,1741.653333,0,0,0,27,1,0,0,1,85
"S158","T29","F42",29.26468,-114.02277,1,1632.8,4,0,0,14,0,0,0,0,85
"S158","T29","F43",29.26468,-114.02277,0,2110.08,0,0,1,0,0,0,0,1,85
"S158","T29","F44",29.26468,-114.02277,0,1428.7,0,1,0,0,0,0,3,0,85
"S158","T29","F45",29.26468,-114.02277,2,2241.96,23,0,1,0,0,0,0,1,85
"S158","T29","F46",29.26468,-114.02277,0,1884,0,0,0,3,1,0,0,0,85
"S158","T29","F47",29.26468,-114.02277,1,1992.853333,0,0,0,0,0,0,0,2,85
"S158","T29","F48",29.26468,-114.02277,1,1992.853333,0,0,0,0,0,0,0,0,85
