Het1,Het2,LO1,SO1,SO2
2.122,1.81,1.869,1.557,1.635
1.938,1.821,1.957,1.493,1.7
1.765,1.653,1.589,1.47,1.407
1.7,1.547,1.43,1.541,1.378
